Date,Temp,Cond,pH
2020-May-23 08:01,19.25,110.30,7.00
2020-May-23 09:01,19.43,111.00,7.00
2020-May-23 10:01,19.56,110.70,7.00
2020-May-23 11:01,19.62,111.90,7.00
2020-May-23 12:01,19.77,112.30,7.01
2020-May-23 13:01,19.87,113.50,7.00
2020-May-23 14:01,20.01,113.10,7.00
2020-May-23 15:01,20.08,113.80,7.00
2020-May-23 16:01,20.17,114.50,7.00
2020-May-23 17:01,20.20,115.20,7.00
2020-May-23 18:01,20.22,115.90,7.00
2020-May-23 19:01,20.14,116.40,7.00
2020-May-23 20:01,20.03,117.00,7.00
2020-May-23 21:01,19.91,116.80,7.00
2020-May-23 22:01,19.77,116.60,7.00
2020-May-23 23:01,19.64,116.40,7.00
2020-May-24 00:01,19.53,116.40,7.00
2020-May-24 01:01,19.39,116.20,7.00
2020-May-24 02:01,19.29,116.50,7.00
2020-May-24 03:01,19.16,116.70,7.00
2020-May-24 04:01,19.41,115.90,7.00
2020-May-24 05:01,19.49,116.30,7.00
2020-May-24 06:01,19.61,116.70,7.00
2020-May-24 07:01,19.64,118.00,7.00
2020-May-24 08:01,19.75,117.40,7.00
2020-May-24 09:01,19.80,118.40,7.00
2020-May-24 10:01,19.92,118.60,7.00
2020-May-24 11:01,20.02,118.80,7.00
2020-May-24 12:01,20.06,119.60,7.00
2020-May-24 13:01,20.12,119.80,7.00
2020-May-24 14:01,20.15,120.70,7.00
2020-May-24 15:01,20.19,120.00,7.00
2020-May-24 16:01,20.24,121.80,7.00
2020-May-24 17:01,20.29,121.30,7.00
2020-May-24 18:01,20.26,122.00,7.00
2020-May-24 19:01,20.10,121.50,7.00
2020-May-24 20:01,19.90,121.70,7.00
2020-May-24 21:01,19.76,121.40,7.01
2020-May-24 22:01,19.57,120.60,7.00
2020-May-24 23:01,19.36,120.50,7.00
2020-May-25 00:01,19.10,119.60,7.00
2020-May-25 01:01,18.87,119.10,7.00
2020-May-25 02:01,18.64,118.50,7.00
2020-May-25 03:01,18.34,117.80,7.00
2020-May-25 04:01,18.69,117.70,7.00
2020-May-25 05:01,18.77,118.10,7.00
2020-May-25 06:01,18.66,118.00,7.00
2020-May-25 07:01,18.59,118.40,7.00
2020-May-25 08:01,18.61,118.10,7.00
2020-May-25 09:01,18.68,117.60,7.00
2020-May-25 10:01,18.90,118.00,7.00
2020-May-25 11:01,19.06,118.20,7.01
2020-May-25 12:01,19.24,118.90,7.01
2020-May-25 13:01,19.37,119.60,7.00
2020-May-25 14:01,19.46,120.10,7.00
2020-May-25 15:01,19.57,120.50,7.00
2020-May-25 16:01,19.70,120.50,7.00
2020-May-25 17:01,19.81,121.10,7.00
2020-May-25 21:01,19.45,121.80,7.00
2020-May-25 22:01,19.26,121.00,7.00
2020-May-26 00:01,18.88,120.40,7.00
2020-May-26 01:01,18.58,119.80,7.00
2020-May-26 02:01,18.32,119.30,7.00
2020-May-26 03:01,18.10,118.60,7.00
2020-May-26 04:01,18.44,118.10,7.00
2020-May-26 05:01,18.41,117.90,7.00
2020-May-26 06:01,18.40,118118.40,7.00
2020-May-26 07:01,18.28,118.00,7.00
2020-May-26 08:01,18.12,117.80,7.00
2020-May-26 09:01,18.22,117.20,7.00
2020-May-26 10:01,18.48,117118.00,7.00
2020-May-26 11:01,18.72,118.60,7.01
2020-May-26 12:01,18.89,118.30,7.00
2020-May-26 13:01,19.07,116118.80,7.00
2020-May-26 14:01,19.19,119.30,7.00
2020-May-26 15:01,19.33,119.70,7.00
2020-May-26 16:01,19.49,118.60,7.00
2020-May-26 17:01,19.52,120.90,7.00
2020-May-26 18:01,19.72,122.30,7.00
2020-May-26 19:01,19.59,122.50,7.00
2020-May-26 20:01,19.58,122.50,7.00
2020-May-26 21:01,19.52,122.70,7.00
2020-May-26 22:01,19.26,121.90,7.00
2020-May-26 23:01,19.07,121.90,7.00
2020-May-27 00:01,19.05,121.80,7.00
2020-May-27 01:01,18.84,121.10,7.00
2020-May-27 02:01,18.65,120.90,7.00
2020-May-27 03:01,18.50,120.40,7.00
2020-May-27 04:01,18.79,120.10,7.00
2020-May-27 05:01,18.93,120.20,7.00
2020-May-27 06:01,19.01,121.20,7.00
2020-May-27 07:01,19.04,121.80,7.00
2020-May-27 08:01,19.15,120.80,7.00
2020-May-27 09:01,19.20,121.90,7.00
2020-May-27 10:01,19.33,122.20,7.00
2020-May-27 11:01,19.42,122.80,7.00
2020-May-27 12:01,19.55,123.00,7.00
2020-May-27 13:01,19.58,123.70,7.00
2020-May-27 14:01,19.65,123.90,7.00
2020-May-27 15:01,19.81,123.80,7.00
2020-Jun-04 06:01,17.28,134.50,7.01
2020-Jun-04 07:01,16.91,134.80,7.01
2020-Jun-04 08:01,16.26,135.50,7.00
2020-Jun-04 10:01,17.66,132.60,7.01
2020-Jun-04 11:01,17.95,136.60,7.01
2020-Jun-04 12:01,17.37,137.60,7.00
2020-Jun-04 13:01,17.84,138.20,7.00
2020-Jun-04 14:01,17.38,135.00,7.00
2020-Jun-04 15:01,17.56,135.40,7.00
2020-Jun-04 16:01,17.47,139.00,7.00
2020-Jun-04 17:01,17.44,138.70,7.00
2020-Jun-04 18:01,17.75,139.20,7.00
2020-Jun-04 19:01,16.90,139.30,7.00
2020-Jun-04 20:01,15.73,139.30,7.00
2020-Jun-04 21:01,15.58,138.90,7.01
2020-Jun-04 22:01,16.46,138.30,7.00
2020-Jun-04 23:01,15.77,137.90,7.00
2020-Jun-05 00:01,15.85,137.40,7.00
2020-Jun-05 01:01,15.30,136.20,7.00
2020-Jun-05 02:01,14.95,135.60,7.00
2020-Jun-05 03:01,14.22,135.50,7.00
2020-Jun-05 04:01,17.00,134.30,7.00
2020-Jun-05 05:01,15.32,134.80,7.00
2020-Jun-05 06:01,15.60,135.10,7.00
2020-Jun-05 07:01,15.84,134.90,7.00
2020-Jun-05 08:01,15.80,135.10,7.00
2020-Jun-05 09:01,15.95,135.80,7.00
2020-Jun-05 10:01,16.73,136.40,7.00
2020-Jun-05 11:01,17.01,136.30,7.00
2020-Jun-05 12:01,17.05,134.50,7.01
2020-Jun-05 13:01,17.19,133.70,7.00
2020-Jun-05 14:01,17.01,137.80,7.00
2020-Jun-05 15:01,17.13,139.50,7.00
2020-Jun-05 16:01,17.14,138.30,7.00
2020-Jun-05 17:01,17.61,138.80,7.00
2020-Jun-05 18:01,17.73,141.60,7.00
2020-Jun-05 19:01,17.17,142.30,7.00
2020-Jun-05 20:01,16.71,141.80,7.00
2020-Jun-05 21:01,15.49,141.80,7.00
2020-Jun-05 22:01,15.24,141.30,7.00
2020-Jun-05 23:01,15.73,140.40,7.00
2020-Jun-06 00:01,15.04,140.30,7.00
2020-Jun-06 01:01,14.18,139.50,7.00
2020-Jun-06 02:01,14.15,139.20,7.00
2020-Jun-06 03:01,14.06,138.50,7.00
2020-Jun-06 04:01,16.42,137.60,7.00
2020-Jun-06 05:01,16.65,138.30,7.00
2020-Jun-06 06:01,16.73,135.90,7.00
2020-Jun-06 07:01,16.67,135.80,7.00
2020-Jun-06 08:01,16.94,138.30,7.00
2020-Jun-06 09:01,17.19,139.50,7.00
2020-Jun-06 10:01,17.04,138.20,7.00
2020-Jun-06 11:01,17.41,141.10,7.00
2020-Jun-06 12:01,17.37,140.10,7.00
2020-Jun-06 13:01,17.99,140.20,7.00
2020-Jun-06 14:01,17.61,142.40,7.00
2020-Jun-06 15:01,17.43,143.70,7.00
2020-Jun-06 16:01,18.10,142.20,7.00
2020-Jun-06 17:01,17.37,142.00,7.00
2020-Jun-06 18:01,17.72,146.10,7.00
2020-Jun-06 19:01,17.37,144.40,7.00
2020-Jun-06 20:01,16.47,146.20,7.00
2020-Jun-06 21:01,16.58,145.80,7.00
2020-Jun-06 22:01,16.56,145.40,7.00
2020-Jun-06 23:01,16.41,145.90,7.00
2020-Jun-07 00:01,16.07,144.50,7.00
2020-Jun-07 01:01,16.01,144.20,7.00
2020-Jun-07 02:01,15.35,144.10,7.00
2020-Jun-07 03:01,14.85,143.20,7.00
2020-Jun-07 04:01,20.14,142.00,7.00
2020-Jun-07 05:01,20.40,143.00,7.00
2020-Jun-07 06:01,20.52,142.30,7.00
2020-Jun-07 07:01,20.67,141.10,7.00
2020-Jun-07 08:01,20.68,141.10,7.01
2020-Jun-07 09:01,20.39,143.90,7.00
2020-Jun-07 10:01,20.99,143.20,7.00
2020-Jun-07 11:01,21.29,142.70,7.00
2020-Jun-07 12:01,20.77,143.20,7.00
2020-Jun-07 13:01,21.29,143.90,7.00
2020-Jun-07 14:01,21.26,144.10,7.00
2020-Jun-07 15:01,21.28,147.50,7.00
2020-Jun-07 16:01,20.99,147.20,7.00
2020-Jun-07 17:01,21.26,145.70,7.00
2020-Jun-07 18:01,19.35,148.70,7.00
2020-Jun-07 19:01,19.02,149.20,7.01
2020-Jun-07 20:01,18.11,148.40,7.00
2020-Jun-07 21:01,17.73,146.90,7.00
2020-Jun-07 22:01,17.61,146.80,7.00
2020-Jun-07 23:01,17.74,147.30,7.00
2020-Jun-08 00:01,17.56,146.50,7.00
2020-Jun-08 01:01,17.34,145.50,7.01
2020-Jun-08 02:01,17.05,144.50,7.00
2020-Jun-08 03:01,16.79,145.30,7.00
2020-Jun-08 04:01,20.97,142.60,7.00
2020-Jun-08 05:01,20.75,140.20,7.00
2020-Jun-08 06:01,20.84,143.40,7.01
2020-Jun-08 07:01,20.70,143.20,7.01
2020-Jun-08 08:01,20.78,142.60,7.00
2020-Jun-08 09:01,21.12,143.50,7.00
2020-Jun-08 10:01,21.85,142.20,7.00
2020-Jun-08 11:01,21.63,142.60,7.00
2020-Jun-08 12:01,21.48,142.90,7.00
2020-Jun-08 13:01,21.73,143.50,7.00
2020-Jun-08 14:01,21.70,144.00,7.01
2020-Jun-08 15:01,21.55,144.30,7.00
2020-Jun-08 16:01,21.05,144.60,7.00
2020-Jun-08 17:01,21.16,143.80,7.00
2020-Jun-08 18:01,19.56,144.50,7.00
2020-Jun-08 19:01,18.85,142.70,7.01
2020-Jun-08 20:01,18.04,137.30,7.00
2020-Jun-08 21:01,17.44,135.80,7.01
2020-Jun-08 22:01,16.81,135.00,7.01
2020-Jun-08 23:01,16.75,133.60,7.00
2020-Jun-09 00:01,16.01,133.30,7.00
2020-Jun-09 01:01,16.07,131.90,7.00
2020-Jun-09 02:01,15.29,131.10,7.00
2020-Jun-09 03:01,15.15,130.50,7.00
2020-Jun-09 04:01,19.91,129.60,7.00
2020-Jun-09 05:01,17.32,129.80,7.00
2020-Jun-09 06:01,16.54,127.60,7.00
2020-Jun-09 07:01,16.07,128.50,7.00
2020-Jun-09 08:01,15.97,127.10,7.00
2020-Jun-09 09:01,16.82,127.70,7.00
2020-Jun-09 10:01,16.76,86.81,7.00
2020-Jun-09 11:01,17.07,89.24,7.00
2020-Jun-09 12:01,17.36,90.02,7.00
2020-Jun-09 13:01,17.63,93.05,7.00
2020-Jun-09 14:01,17.87,92.60,7.00
2020-Jun-09 15:01,18.10,89.68,7.00
2020-Jun-09 16:01,18.29,91.78,7.00
2020-Jun-09 17:01,18.50,92.66,7.00
2020-Jun-09 18:01,18.62,97.36,7.00
2020-Jun-09 19:01,18.62,96.75,7.00
2020-Jun-09 20:01,18.56,98.98,7.00
2020-Jun-09 21:01,18.45,99.23,7.00
2020-Jun-09 22:01,18.34,99.25,7.00
2020-Jun-09 23:01,18.22,99.61,7.00
2020-Jun-10 00:01,18.07,99.35,7.00
2020-Jun-10 01:01,17.91,99.03,7.00
2020-Jun-10 02:01,17.74,98.60,7.00
2020-Jun-10 03:01,17.56,98.78,7.00
2020-Jun-10 04:01,17.70,97.44,7.00
2020-Jun-10 05:01,17.90,98.27,7.00
2020-Jun-10 06:01,17.90,99.21,7.00
2020-Jun-10 07:01,17.89,98.96,7.00
2020-Jun-10 08:01,17.85,98.89,7.00
2020-Jun-10 09:01,17.91,98.74,7.00
2020-Jun-10 10:01,18.09,99.23,7.00
2020-Jun-10 11:01,18.35,99.56,7.00
2020-Jun-10 12:01,18.61,100.40,7.00
2020-Jun-10 13:01,18.80,101.60,7.00
2020-Jun-10 14:01,19.00,102.30,7.00
2020-Jun-14 07:01,19.81,122.30,7.00
2020-Jun-14 08:01,19.88,122.00,7.00
2020-Jun-14 09:01,19.98,117.20,7.00
2020-Jun-14 10:01,20.15,117.50,7.01
2020-Jun-14 11:01,20.30,117.10,7.00
2020-Jun-14 12:01,20.41,118.10,7.00
2020-Jun-14 13:01,20.46,118.20,7.00
2020-Jun-14 14:01,20.49,117.30,7.00
2020-Jun-14 15:01,20.51,117.90,7.00
2020-Jun-14 16:01,20.51,117.70,7.00
2020-Jun-14 17:01,20.51,118.50,7.00
2020-Jun-14 18:01,20.51,119.00,7.00
2020-Jun-14 19:01,20.44,119.30,7.00
2020-Jun-14 20:01,20.33,120.20,7.00
2020-Jun-14 21:01,20.19,118.70,7.00
2020-Jun-14 22:01,20.05,118.70,7.00
2020-Jun-14 23:01,19.91,119.50,7.00
2020-Jun-15 00:01,19.76,118.90,7.00
2020-Jun-15 01:01,19.62,118.10,7.00
2020-Jun-15 02:01,19.49,118.50,7.00
2020-Jun-15 03:01,19.37,121.80,7.00
2020-Jun-15 04:01,19.47,116.80,7.00
2020-Jun-15 05:01,19.57,116.00,7.01
2020-Jun-15 06:01,19.64,116.10,7.00
2020-Jun-15 07:01,19.71,118.00,7.00
2020-Jun-15 08:01,19.77,123.80,7.00
2020-Jun-15 09:01,19.87,124.40,7.00
2020-Jun-15 10:01,19.98,118.00,7.01
2020-Jun-15 11:01,20.13,118.20,7.01
2020-Jun-15 12:01,20.25,119.60,7.00
2020-Jun-15 13:01,20.34,118.80,7.00
2020-Jun-15 14:01,20.40,119.40,7.01
2020-Jun-15 15:01,20.47,120.20,7.00
2020-Jun-15 16:01,20.52,120.00,7.01
2020-Jun-15 17:01,20.58,119.70,7.01
2020-Jun-16 04:01,19.83,119.00,7.01
2020-Jun-16 05:01,19.91,119.80,7.00
2020-Jun-16 06:01,19.99,120.00,7.00
2020-Jun-16 07:01,20.05,120.10,7.01
2020-Jun-16 08:01,20.11,120.10,7.01
2020-Jun-16 09:01,20.17,120.70,7.00
2020-Jun-16 10:01,20.27,121.10,7.00
2020-Jun-16 11:01,20.38,122.90,7.00
2020-Jun-16 12:01,20.44,127.30,7.00
2020-Jun-16 13:01,20.50,127.10,7.00
2020-Jun-16 14:01,20.52,128.30,7.00
2020-Jun-16 15:01,20.50,129.00,7.00
2020-Jun-16 16:01,20.44,128.30,7.00
2020-Jun-16 17:01,20.36,128.70,7.00
2020-Jun-16 18:01,20.35,129.00,7.00
2020-Jun-16 19:01,20.30,129.20,7.00
2020-Jun-16 20:01,20.24,128.80,7.00
